t,v_wheel,w_wheel,v_nav,w_nav,v_smoothed,w_smoothed,v_cmdvel,w_cmdvel,v_gated,w_gated
179.074,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
179.124,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
179.176,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
179.218,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
179.266,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
179.318,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
179.37,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
179.416,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
179.466,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
179.516,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
179.566,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
179.6,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
179.66,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
179.712,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
179.766,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
179.816,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
179.868,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
179.92,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
179.97,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
180.02,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
180.066,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
180.124,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
180.124,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
180.174,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
180.224,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
180.276,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
180.328,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
180.378,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
180.43,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
180.48,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
180.53,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
180.584,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
180.634,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
180.684,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
180.724,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
180.786,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
180.838,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
180.888,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
180.938,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
180.986,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
181.038,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
181.09,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
181.138,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
181.188,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
181.24,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
181.29,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
181.336,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
181.386,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
181.438,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
181.488,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
181.538,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
181.584,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
181.64,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
181.69,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
181.744,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
181.796,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
181.846,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
181.896,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
181.938,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
181.98,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
182.038,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
182.09,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
182.132,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
182.176,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
182.234,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
182.286,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
182.328,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
182.374,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
182.428,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
182.43,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
182.482,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
182.526,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
182.57,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
182.626,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
182.676,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
182.722,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
182.77,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
182.822,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
182.874,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
182.924,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
182.97,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
183.024,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
183.076,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
183.122,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
183.166,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
183.224,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
183.278,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
183.328,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
183.378,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
183.426,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
183.478,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
183.528,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
183.578,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
183.628,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
183.68,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
183.728,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
183.776,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
183.83,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
183.878,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
183.93,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
183.98,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
184.026,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
184.082,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
184.132,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
184.184,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
184.236,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
184.286,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
184.338,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
184.39,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
184.436,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
184.488,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
184.536,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
184.588,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
184.634,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
184.686,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
184.736,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
184.786,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
184.838,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
184.884,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
184.94,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
184.99,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
185.042,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
185.082,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
