t_rel,x,y,yaw,v_act,w_act,v_nav,w_nav,v_smoothed,v_cmdvel,v_wheel,cm_action,cm_polygon,scan_min,dwb_n,dwb_illegal,dwb_best_vx,dwb_best_total
33.6,-2.2064,2.5024,2.5719,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.566,819,81,0.0,35.6
33.7,-2.2064,2.5024,2.5725,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.566,819,81,0.0,35.6
33.8,-2.2064,2.5024,2.5736,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.566,819,80,0.0,35.6
33.9,-2.2064,2.5024,2.5741,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.566,819,79,0.0,35.6
34.0,-2.2064,2.5024,2.5751,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.566,819,79,0.0,35.6
34.1,-2.2064,2.5023,2.5773,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.566,819,79,0.0,35.6
34.2,-2.2064,2.5023,2.5779,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.566,819,79,0.0,35.6
34.3,-2.2064,2.5023,2.5787,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.566,819,79,0.0,35.6
34.4,-2.2064,2.5023,2.579,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.566,819,80,0.0,35.6
34.5,-2.2064,2.5023,2.5792,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.566,819,80,0.0,35.6
34.6,-2.2064,2.5023,2.5793,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.567,819,80,0.0,35.6
34.7,-2.2064,2.5023,2.5794,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.567,819,80,0.0,35.6
34.8,-2.2064,2.5023,2.5795,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.567,819,81,0.0,35.6
34.9,-2.2064,2.5023,2.5797,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.567,819,81,0.0,35.6
35.0,-2.2064,2.5022,2.5803,-0.0001,0.0059,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.567,819,81,0.0,35.6
35.1,-2.2064,2.5022,2.5809,-0.0001,0.0059,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.567,819,81,0.0,35.6
35.2,-2.2064,2.5022,2.5815,-0.0001,0.0059,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.567,819,81,0.0,35.6
35.3,-2.2064,2.5022,2.582,-0.0001,0.0059,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.567,819,82,0.0,35.6
35.4,-2.2064,2.5021,2.5845,-0.0001,0.0059,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.567,819,82,0.0,35.6
35.5,-2.2064,2.5021,2.5847,-0.0001,0.0059,0.0,0.0256,0.0,0.0,0.0,0,,0.567,819,82,0.0,35.6
35.6,-2.2064,2.5021,2.5848,-0.0001,0.0059,0.0,0.0256,0.0,0.0,0.0,0,,0.567,819,82,0.0,35.6
35.7,-2.2064,2.502,2.5891,-0.0003,0.0196,0.0,0.0256,0.0,0.0,0.0,0,,0.567,819,83,0.0,35.6
35.8,-2.2064,2.502,2.5911,-0.0003,0.0196,0.0,0.0256,0.0,0.0,0.0,0,,0.568,819,84,0.0,35.6
35.9,-2.2064,2.5019,2.5942,-0.0003,0.0197,0.0,0.0256,0.0,0.0,0.0,0,,0.568,819,84,0.0,35.6
36.0,-2.2064,2.5019,2.595,-0.0003,0.0197,0.0,0.0256,0.0,0.0,0.0,0,,0.568,819,85,0.0,35.6
36.1,-2.2064,2.5018,2.597,-0.0003,0.0197,0.0,0.0256,0.0,0.0,0.0,0,,0.568,819,85,0.0,35.6
36.2,-2.2064,2.5017,2.599,-0.0003,0.0197,0.0,0.0256,0.0,0.0,0.0,0,,0.569,819,87,0.0,35.6
36.3,-2.2064,2.5017,2.5994,-0.0003,0.0197,0.0,0.0256,0.0,0.0,0.0,0,,0.569,819,88,0.0,35.6
36.4,-2.2064,2.5017,2.5998,-0.0003,0.0197,0.0,0.0256,0.0,0.0,0.0,0,,0.57,819,89,0.0,35.6
36.5,-2.2064,2.5015,2.6061,-0.0003,0.0198,0.0,0.0256,0.0,0.0,0.0,0,,0.57,819,89,0.0,35.6
36.6,-2.2064,2.5015,2.6069,-0.0003,0.0198,0.0,0.0256,0.0,0.0,0.0,0,,0.57,819,88,0.0,35.6
36.7,-2.2064,2.5015,2.6073,-0.0003,0.0198,0.0,0.0256,0.0,0.0,0.0,0,,0.57,819,88,0.0,35.6
36.8,-2.2064,2.5015,2.6077,-0.0003,0.0198,0.0,-0.0256,0.0,0.0,0.0,0,,0.571,819,88,0.0,35.6
36.9,-2.2064,2.5015,2.6081,-0.0003,0.0198,0.0,-0.3333,0.0,0.0,0.0,0,,0.57,819,88,0.0,36.2
37.0,-2.206,2.5017,2.5896,-0.0027,-0.2255,0.0,-0.3333,0.0,0.0,0.0,0,,0.57,819,88,0.0,36.2
37.1,-2.2059,2.5017,2.585,-0.0016,-0.2304,0.0,-0.3333,0.0,0.0,0.0,2,PolygonSlow,0.57,819,80,0.0,36.2
37.2,-2.2057,2.502,2.5663,-0.0035,-0.2162,0.0,-0.3333,0.0,0.0,0.0,0,,0.567,819,76,0.0,36.2
37.3,-2.2056,2.502,2.5618,-0.0033,-0.2215,0.0,-0.3333,0.0,0.0,0.0,2,PolygonSlow,0.565,819,74,0.0,36.2
37.4,-2.2056,2.5023,2.545,0.0006,-0.063,0.0,-0.2821,0.0,0.0,0.0,2,PolygonSlow,0.563,819,71,0.0,36.2
37.5,-2.2056,2.5024,2.5399,0.0006,-0.0628,0.0,-0.2821,0.0,0.0,0.0,2,PolygonSlow,0.563,819,70,0.0,36.2
37.6,-2.2056,2.5026,2.5274,0.0005,-0.0622,0.0,-0.2821,0.0,0.0,0.0,2,PolygonSlow,0.561,819,67,0.0,36.2
37.7,-2.2056,2.5027,2.5212,0.0005,-0.062,0.0,-0.2821,0.0,0.0,0.0,2,PolygonSlow,0.56,819,66,0.0,36.2
37.8,-2.2056,2.5027,2.5212,0.0005,-0.062,0.0,-0.2821,0.0,0.0,0.0,2,PolygonSlow,0.56,819,62,0.0,36.2
37.9,-2.2055,2.5028,2.5092,-0.0006,-0.057,0.0,-0.2821,0.0,0.0,0.0,2,PolygonSlow,0.558,819,62,0.0,36.2
38.0,-2.2055,2.5028,2.5081,-0.0006,-0.0569,0.0,-0.2821,0.0,0.0,0.0,2,PolygonSlow,0.558,819,60,0.0,36.2
38.1,-2.2055,2.5028,2.5081,-0.0006,-0.0569,0.0,-0.2821,0.0,0.0,0.0,2,PolygonSlow,0.558,819,60,0.0,36.2
38.2,-2.2055,2.5028,2.5069,-0.0006,-0.057,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.557,819,58,0.0,36.2
38.3,-2.2055,2.5028,2.5058,-0.0006,-0.057,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.556,819,69,0.0,36.2
38.4,-2.2054,2.5028,2.5046,-0.0006,-0.0571,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.556,819,68,0.0,36.2
38.5,-2.2054,2.5028,2.5012,-0.0005,-0.0573,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.555,819,67,0.0,36.2
38.6,-2.2054,2.5028,2.4963,-0.0004,-0.0472,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.555,819,66,0.0,36.2
38.7,-2.2053,2.5028,2.4877,-0.0003,-0.0476,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.553,819,66,0.0,36.2
38.8,-2.2052,2.5028,2.4646,0.0,-0.0488,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.553,819,62,0.0,36.2
38.9,-2.2052,2.5028,2.4597,0.0001,-0.0491,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.552,819,62,0.0,36.2
39.0,-2.2052,2.5028,2.4557,0.0001,-0.0493,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.551,819,61,0.0,36.8
39.1,-2.2052,2.5028,2.4547,0.0001,-0.0494,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.551,819,71,0.0,36.8
39.2,-2.2052,2.5028,2.4537,0.0001,-0.0494,0.0,-0.1795,0.0,0.0,0.0,2,PolygonSlow,0.55,819,72,0.0,36.8
39.3,-2.2052,2.5028,2.4528,0.0001,-0.0495,0.0,-0.1795,0.0,0.0,0.0,2,PolygonSlow,0.549,819,71,0.0,36.8
39.4,-2.2052,2.5028,2.4518,0.0001,-0.0495,0.0,-0.1795,0.0,0.0,0.0,2,PolygonSlow,0.549,819,70,0.0,36.8
39.5,-2.2053,2.5028,2.4508,0.0002,-0.0496,0.0,-0.1795,0.0,0.0,0.0,2,PolygonSlow,0.548,819,67,0.0,36.8
39.6,-2.2053,2.5028,2.4454,0.0002,-0.0388,0.0,-0.1795,0.0,0.0,0.0,2,PolygonSlow,0.548,819,66,0.0,36.8
39.7,-2.2053,2.5028,2.4415,0.0002,-0.0389,0.0,-0.1795,0.0,0.0,0.0,2,PolygonSlow,0.547,819,66,0.0,36.8
39.8,-2.2053,2.5028,2.4391,0.0002,-0.039,0.0,-0.1795,0.0,0.0,0.0,2,PolygonSlow,0.547,819,66,0.0,36.8
39.9,-2.2055,2.5028,2.4178,0.0004,-0.0399,0.0,-0.1795,0.0,0.0,0.0,2,PolygonSlow,0.546,819,66,0.0,36.8
