t_rel,x,y,yaw,v_act,w_act,v_nav,w_nav,v_smoothed,v_cmdvel,v_wheel,cm_action,cm_polygon,scan_min,dwb_n,dwb_illegal,dwb_best_vx,dwb_best_total
21.7,-2.007,-2.8618,-2.1124,-0.0,-0.0085,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.563,819,123,0.0,6.6
21.8,-2.007,-2.8618,-2.113,0.0004,-0.0309,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.563,819,121,0.0,5.2
21.9,-2.007,-2.8618,-2.1136,0.0005,-0.031,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.562,819,509,0.0,5.2
22.0,-2.007,-2.8618,-2.1144,0.0002,-0.0388,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.563,819,510,0.0,5.2
22.1,-2.0072,-2.8618,-2.1186,0.0008,-0.0531,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.563,819,510,0.0,6.6
22.2,-2.0073,-2.8618,-2.1222,0.0001,-0.0014,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,510,0.0,6.6
22.3,-2.0072,-2.8618,-2.1179,-0.0006,0.0413,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,510,0.0,6.6
22.4,-2.0071,-2.8618,-2.1146,-0.0006,0.0414,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,511,0.0,6.6
22.5,-2.007,-2.8618,-2.1129,-0.0001,0.0059,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,511,0.0,6.6
22.6,-2.007,-2.8618,-2.1123,-0.0001,0.0059,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.564,819,123,0.0,6.6
22.7,-2.007,-2.8618,-2.1118,-0.0001,0.0059,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.564,819,123,0.0,6.6
22.8,-2.007,-2.8618,-2.1111,-0.0001,0.0059,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.563,819,122,0.0,6.6
22.9,-2.0069,-2.8618,-2.1106,-0.0001,0.0059,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.562,819,121,0.0,5.2
23.0,-2.007,-2.8618,-2.1112,0.0004,-0.0309,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.562,819,507,0.0,5.2
23.1,-2.0071,-2.8618,-2.1158,0.0008,-0.0532,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.562,819,509,0.0,5.2
23.2,-2.0072,-2.8618,-2.12,0.0008,-0.0531,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.563,819,510,0.0,5.2
23.3,-2.0073,-2.8618,-2.1247,-0.0001,0.0286,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,510,0.0,6.6
23.4,-2.0069,-2.8618,-2.1094,-0.0001,0.0059,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,510,0.0,6.6
23.5,-2.0069,-2.8618,-2.109,-0.0001,0.0059,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,510,0.0,6.6
23.6,-2.0069,-2.8618,-2.1088,-0.0001,0.0059,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.564,819,123,0.0,6.6
23.7,-2.0069,-2.8618,-2.1087,-0.0001,0.0059,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.564,819,123,0.0,6.6
23.8,-2.0069,-2.8618,-2.1086,-0.0001,0.0059,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.563,819,123,0.0,6.6
23.9,-2.0069,-2.8618,-2.1088,-0.0,-0.0085,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.563,819,122,0.0,5.2
24.0,-2.0069,-2.8618,-2.1094,0.0004,-0.031,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.563,819,509,0.0,5.2
24.1,-2.007,-2.8618,-2.1134,0.0008,-0.0533,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.563,819,510,0.0,6.6
24.2,-2.0072,-2.8618,-2.1197,0.0008,-0.0531,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.563,819,510,0.0,6.6
24.3,-2.0072,-2.8618,-2.1212,0.0002,-0.0163,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.563,819,511,0.0,6.6
24.4,-2.007,-2.8618,-2.1144,0.0,0.0,0.0158,0.0256,0.0,0.0,0.0,0,,0.563,819,114,0.0158,3.8
24.5,-2.007,-2.8618,-2.1144,0.0,0.0,0.0158,0.0256,0.0,0.0,0.0,0,,0.563,819,114,0.0158,3.8
24.6,-2.0074,-2.8624,-2.1135,0.0047,0.0059,0.0158,0.0256,0.0158,0.0047,0.0047,2,PolygonSlow,0.563,819,114,0.0158,3.8
24.7,-2.0076,-2.8628,-2.1129,0.0046,0.0059,0.0158,0.0256,0.0158,0.0047,0.0047,2,PolygonSlow,0.563,819,117,0.0158,3.8
24.8,-2.0078,-2.8632,-2.1124,0.0046,0.0059,0.0158,0.0256,0.0158,0.0047,0.0047,2,PolygonSlow,0.562,819,117,0.0158,3.8
24.9,-2.0081,-2.8637,-2.1117,0.0046,0.0059,0.0158,0.0,0.0158,0.0047,0.0047,2,PolygonSlow,0.562,819,117,0.0158,3.8
25.0,-2.0083,-2.8641,-2.1114,0.0047,0.0,0.0158,0.0,0.0158,0.0047,0.0047,2,PolygonSlow,0.562,819,117,0.0158,3.8
25.1,-2.0083,-2.8641,-2.1114,0.0047,0.0,0.0158,0.0,0.0158,0.0047,0.0047,2,PolygonSlow,0.562,819,117,0.0158,3.8
25.2,-2.0087,-2.8647,-2.1114,0.0047,0.0,0.0158,0.0,0.0158,0.0047,0.0047,2,PolygonSlow,0.561,819,118,0.0158,3.8
25.3,-2.009,-2.8653,-2.1114,0.0047,0.0,0.0158,0.0,0.0158,0.0047,0.0047,2,PolygonSlow,0.561,819,118,0.0158,3.8
25.4,-2.0091,-2.8654,-2.1114,0.0047,0.0,0.0158,0.0,0.0158,0.0047,0.0047,2,PolygonSlow,0.56,819,118,0.0158,3.8
25.5,-2.0091,-2.8654,-2.1114,0.0047,0.0,0.0158,0.0,0.0158,0.0047,0.0047,2,PolygonSlow,0.56,819,118,0.0158,3.8
25.6,-2.0092,-2.8655,-2.1114,0.0047,0.0,0.0158,-0.3333,0.0158,0.0047,0.0047,2,PolygonSlow,0.558,819,119,0.0158,3.8
25.7,-2.0092,-2.8656,-2.1114,0.0047,0.0,0.0158,-0.3333,0.0158,0.0047,0.0047,2,PolygonSlow,0.557,819,120,0.0158,3.8
25.8,-2.0093,-2.8658,-2.1114,0.0047,0.0,0.0158,-0.3333,0.0158,0.0047,0.0047,2,PolygonSlow,0.555,819,117,0.0158,3.8
25.9,-2.0096,-2.8661,-2.1134,0.0049,-0.0475,0.0158,-0.2821,0.0158,0.0047,0.0047,2,PolygonSlow,0.555,819,115,0.0158,3.8
26.0,-2.0099,-2.8664,-2.1193,0.0058,-0.0767,0.0158,-0.2821,0.0158,0.0047,0.0047,2,PolygonSlow,0.554,819,114,0.0158,3.8
26.1,-2.0103,-2.8667,-2.1254,0.0058,-0.0764,0.0158,-0.2821,0.0158,0.0047,0.0047,2,PolygonSlow,0.553,819,114,0.0158,3.8
26.2,-2.0106,-2.867,-2.1315,0.0058,-0.0761,0.0158,-0.2821,0.0158,0.0047,0.0047,2,PolygonSlow,0.552,819,111,0.0158,3.8
26.3,-2.0112,-2.8675,-2.1405,0.0056,-0.0699,0.0158,-0.2821,0.0158,0.0047,0.0047,2,PolygonSlow,0.55,819,110,0.0158,3.8
26.4,-2.0115,-2.8678,-2.1456,0.0055,-0.0638,0.0158,-0.2821,0.0158,0.0047,0.0047,2,PolygonSlow,0.549,819,109,0.0158,3.8
26.5,-2.0118,-2.8682,-2.1507,0.0055,-0.0636,0.0,0.1795,0.0158,0.0047,0.0047,2,PolygonSlow,0.548,819,116,0.0,5.2
26.6,-2.0134,-2.8698,-2.1767,-0.0,0.0383,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.547,819,115,0.0,5.2
26.7,-2.0133,-2.8698,-2.1728,-0.0004,0.0399,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.547,819,116,0.0,5.2
26.8,-2.0133,-2.8698,-2.172,-0.0004,0.0399,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.548,819,116,0.0,5.2
26.9,-2.0133,-2.8698,-2.1712,-0.0004,0.0399,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.548,819,118,0.0,5.2
27.0,-2.0131,-2.8698,-2.1615,-0.0004,0.0402,0.0,0.1282,0.0,0.0,0.0,2,PolygonSlow,0.549,819,120,0.0,5.2
27.1,-2.0131,-2.8698,-2.1599,-0.0004,0.0402,0.0,0.1282,0.0,0.0,0.0,2,PolygonSlow,0.549,819,122,0.0,5.2
27.2,-2.0131,-2.8698,-2.1592,-0.0004,0.0345,0.0,0.1282,0.0,0.0,0.0,2,PolygonSlow,0.55,819,122,0.0,5.2
27.3,-2.0131,-2.8698,-2.1587,-0.0003,0.0288,0.0,0.1282,0.0,0.0,0.0,2,PolygonSlow,0.55,819,123,0.0,5.2
27.4,-2.013,-2.8698,-2.1581,-0.0003,0.0288,0.0,0.1282,0.0,0.0,0.0,2,PolygonSlow,0.551,819,124,0.0,5.2
27.5,-2.013,-2.8698,-2.1569,-0.0003,0.0288,0.0,0.1282,0.0,0.0,0.0,2,PolygonSlow,0.551,819,123,0.0,5.2
27.6,-2.013,-2.8698,-2.1541,-0.0003,0.0288,0.0,0.1282,0.0,0.0,0.0,2,PolygonSlow,0.551,819,124,0.0,5.2
