t,v_wheel,w_wheel,v_nav,w_nav,v_smoothed,w_smoothed,v_cmdvel,w_cmdvel,v_gated,w_gated
126.632,0.0,0.64,0.0,0.64,0.0,0.64,0.0,0.64,,
126.672,0.0,1.0,0.0,1.0,0.0,0.64,0.0,0.64,,
126.692,0.0,0.64,0.0,0.64,0.0,0.64,0.0,0.64,,
126.732,0.0,0.64,0.0,0.64,0.0,0.64,0.0,0.64,,
126.774,0.0,1.0,0.0,1.0,0.0,0.64,0.0,0.64,,
126.79,0.0,0.64,0.0,0.64,0.0,0.64,0.0,0.64,,
126.828,0.0,0.64,0.0,0.64,0.0,0.64,0.0,0.64,,
126.872,0.0,1.0,0.0,1.0,0.0,0.64,0.0,0.64,,
126.894,0.0,0.64,0.0,0.64,0.0,0.64,0.0,0.64,,
126.934,0.0,0.64,0.0,0.64,0.0,0.64,0.0,0.64,,
126.966,0.0,1.0,0.0,1.0,0.0,0.64,0.0,0.64,,
126.974,0.0,0.64,0.0,0.64,0.0,0.64,0.0,0.64,,
127.0,0.0,0.64,0.0,0.64,0.0,0.64,0.0,0.64,,
127.064,0.0,1.0,0.0,1.0,0.0,0.64,0.0,0.64,,
127.068,0.0,0.64,0.0,0.64,0.0,0.64,0.0,0.64,,
127.13,0.0,0.64,0.0,0.64,0.0,0.64,0.0,0.64,,
127.164,0.0,1.0,0.0,1.0,0.0,0.64,0.0,0.64,,
127.17,0.0,0.64,0.0,0.64,0.0,0.64,0.0,0.64,,
127.21,0.0,0.64,0.0,0.64,0.0,0.64,0.0,0.64,,
127.264,0.0,1.0,0.0,1.0,0.0,0.64,0.0,0.64,,
127.266,0.0,0.64,0.0,0.64,0.0,0.64,0.0,0.64,,
127.33,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
127.36,0.0,1.0,0.0,1.0,0.0,0.31999999999999995,0.0,0.48,,
127.374,0.0,0.31999999999999995,0.0,0.31999999999999995,0.0,0.31999999999999995,0.0,0.31999999999999995,,
127.412,0.0,0.15999999999999995,0.0,0.15999999999999995,0.0,0.15999999999999995,0.0,0.15999999999999995,,
127.452,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.15999999999999995,,
127.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
127.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
